Gene 1	Gene 2	Weight	Network group	Networks
OAS2	IFI44L	0.28196880873292685	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OAS2	ISG15	0.2787902168929577	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
ISG15	STAT1	0.276526496745646	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
IFI44	RSAD2	0.2759785633534193	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
IFIT3	IFI44L	0.2653781599365175	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
ISG15	IFIT3	0.2653061014134437	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
MX1	IFIT3	0.260202975012362	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
STAT1	GBP1	0.2540447674691677	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL9	CXCL10	0.2493949020281434	Co-expression	Arijs-Rutgeerts-2009; Burington-Shaughnessy-2008; Chen-Brown-2002; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
IFI44	IFIT3	0.2435240177437663	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OAS2	STAT1	0.23565193824470043	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OAS2	RSAD2	0.23066536989063025	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
TAP1	STAT1	0.22846793942153454	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
OASL	RSAD2	0.22395623056218028	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
IFIT2	IFIT3	0.22302912455052137	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009
STAT1	RSAD2	0.21583887096494436	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
MX1	STAT1	0.21067951526492834	Co-expression	Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
STAT1	IFI44L	0.20581025909632444	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OAS2	IFI44	0.20461629703640938	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL10	CXCL11	0.19949800241738558	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Gysin-McMahon-2012; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
OAS2	IFIT3	0.1981056579388678	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OASL	IFI44L	0.19414652418345213	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Mallon-McKay-2013; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
ISG15	IFITM1	0.17596733570098877	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OASL	ISG15	0.17466755211353302	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OASL	IFIT3	0.17347397608682513	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL9	CXCL11	0.17183695919811726	Co-expression	Bild-Nevins-2006 B; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL2	CXCL3	0.17061385232955217	Co-expression	Arijs-Rutgeerts-2009; Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IFIT2	RSAD2	0.1622745245695114	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Mallon-McKay-2013; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009
OASL	IFI44	0.16000603884458542	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OASL	MX1	0.15992420725524426	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
OASL	OAS2	0.15878167375922203	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
IFI44	STAT1	0.1585186943411827	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Roth-Zlotnik-2006; Smirnov-Cheung-2009; Wang-Maris-2006
IFIT2	IFI44L	0.15238777548074722	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Innocenti-Brown-2011; Mallon-McKay-2013; Salaverria-Siebert-2011; Smirnov-Cheung-2009
GBP1	CXCL10	0.149925721809268	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Chen-Brown-2002; Gysin-McMahon-2012; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
PTGS2	IL6	0.14894683798775077	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Innocenti-Brown-2011; Kang-Willman-2010; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IFIT3	STAT1	0.14615936251357198	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Ramaswamy-Golub-2001; Smirnov-Cheung-2009; Wang-Maris-2006
TAP1	GBP1	0.14478627173230052	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Boldrick-Relman-2002; Kang-Willman-2010; Mallon-McKay-2013; Ramaswamy-Golub-2001; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
STAT1	CXCL10	0.1417897203937173	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Chen-Brown-2002; Gysin-McMahon-2012; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
OASL	STAT1	0.12654139287769794	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
STAT1	CXCL9	0.12453941628336906	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Chen-Brown-2002; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011
TAP1	ISG15	0.1242896169424057	Co-expression	Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Cheok-Evans-2003; Gysin-McMahon-2012; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IFI44L	USP18	0.1240110918879509	Co-expression	Arijs-Rutgeerts-2009; Chen-Brown-2002; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
CXCL9	GBP1	0.12036407925188541	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Chen-Brown-2002; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IL1B	IL8	0.11738754762336612	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
OAS2	IFITM1	0.11707304883748293	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Chen-Brown-2002; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
STAT1	CXCL11	0.11440922413021326	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
CXCL9	IDO1	0.11371732410043478	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
IL1B	IL6	0.11326909204944968	Co-expression	Arijs-Rutgeerts-2009; Boldrick-Relman-2002; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IFIT2	ISG15	0.11304548941552639	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Cheok-Evans-2003; Innocenti-Brown-2011; Salaverria-Siebert-2011; Smirnov-Cheung-2009
IDO1	CXCL11	0.1126904571428895	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
RSAD2	USP18	0.11138649191707373	Co-expression	Arijs-Rutgeerts-2009; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
IL6	IL8	0.11003692168742418	Co-expression	Arijs-Rutgeerts-2009; Chen-Brown-2002; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
CXCL2	CXCL1	0.10933181829750538	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Gysin-McMahon-2012; Salaverria-Siebert-2011
IFI44	USP18	0.10908952075988054	Co-expression	Arijs-Rutgeerts-2009; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
IL6	CCL2	0.10743293818086386	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Innocenti-Brown-2011; Kang-Willman-2010; Roth-Zlotnik-2006
IFI44L	IFITM1	0.1053554154932499	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Chen-Brown-2002; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
MX1	IFIT2	0.10478656738996506	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Cheok-Evans-2003; Mallon-McKay-2013; Salaverria-Siebert-2011; Smirnov-Cheung-2009
ISG15	ISG20	0.10423154523596168	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Cheok-Evans-2003; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006
CCL2	CCL8	0.10422387160360813	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Innocenti-Brown-2011; Roth-Zlotnik-2006; Salaverria-Siebert-2011
OAS2	USP18	0.10283716674894094	Co-expression	Arijs-Rutgeerts-2009; Gysin-McMahon-2012; Innocenti-Brown-2011; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
IFIT2	IFI44	0.10273925121873617	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Cheok-Evans-2003; Innocenti-Brown-2011; Rieger-Chu-2004; Smirnov-Cheung-2009
CXCL5	CXCL3	0.10073225200176239	Co-expression	Gysin-McMahon-2012; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
IL1B	TNF	0.10026447381824255	Co-expression	Alizadeh-Staudt-2000; Arijs-Rutgeerts-2009; Boldrick-Relman-2002; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006
MX1	IFITM1	0.10015102615579963	Co-expression	Bild-Nevins-2006 B; Boldrick-Relman-2002; Chen-Brown-2002; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL2	IL8	0.0998538862913847	Co-expression	Alizadeh-Staudt-2000; Bild-Nevins-2006 B; Boldrick-Relman-2002; Gysin-McMahon-2012; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
GBP1	RSAD2	0.09854480344802141	Co-expression	Bahr-Bowler-2013; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Innocenti-Brown-2011; Wang-Maris-2006
GBP1	CXCL11	0.09854412404820323	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
ISG20	IFITM1	0.09721192880533636	Co-expression	Arijs-Rutgeerts-2009; Bahr-Bowler-2013; Bild-Nevins-2006 B; Boldrick-Relman-2002; Burington-Shaughnessy-2008; Chen-Brown-2002; Rieger-Chu-2004; Smirnov-Cheung-2009; Wang-Maris-2006
CXCL3	IL8	0.09688975382596254	Co-expression	Innocenti-Brown-2011; Kang-Willman-2010; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
CXCL2	IL6	0.09598125983029604	Co-expression	Boldrick-Relman-2002; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
TAP1	CXCL11	0.09578079637140036	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
OASL	IFIT2	0.09342981595546007	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Gysin-McMahon-2012; Innocenti-Brown-2011; Salaverria-Siebert-2011
IL8	CXCL1	0.09271829389035702	Co-expression	Bild-Nevins-2006 B; Boldrick-Relman-2002; Gysin-McMahon-2012; Innocenti-Brown-2011; Salaverria-Siebert-2011
ISG15	USP18	0.09151170402765274	Co-expression	Arijs-Rutgeerts-2009; Gysin-McMahon-2012; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
MX1	USP18	0.09145466703921556	Co-expression	Arijs-Rutgeerts-2009; Gysin-McMahon-2012; Kang-Willman-2010; Salaverria-Siebert-2011; Smirnov-Cheung-2009
IL8	CCL20	0.08975416515022516	Co-expression	Bild-Nevins-2006 B; Gysin-McMahon-2012; Innocenti-Brown-2011; Mallon-McKay-2013; Salaverria-Siebert-2011; Wang-Maris-2006
CCL3	IL1B	0.0893203979358077	Co-expression	Bild-Nevins-2006 B; Boldrick-Relman-2002; Innocenti-Brown-2011; Mallon-McKay-2013; Ramaswamy-Golub-2001
HCAR3	IL1B	0.08772899303585291	Co-expression	Arijs-Rutgeerts-2009; Boldrick-Relman-2002; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Salaverria-Siebert-2011
TNFSF10	RSAD2	0.08762298384681344	Co-expression	Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Rieger-Chu-2004; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
PTGS2	IL8	0.08747028466314077	Co-expression	Arijs-Rutgeerts-2009; Innocenti-Brown-2011; Ramaswamy-Golub-2001; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Wang-Maris-2006
